CODICE_SCUOLA,M_Docenti,F_Docenti,Tot_Docenti,M_Supplenti,F_Supplenti,Tot_Supplenti,M_ATA,F_ATA,Tot_ATA
CSEE89802B,33,58,91,3,14,17,17,11,28
MSRI01101D,50,85,135,7,21,28,18,25,43
NARI08951D,64,55,119,5,11,16,0,0,0
MOEE83603G,5,53,58,4,6,10,10,23,33
AVMM88303N,6,31,37,0,6,6,10,22,32
CBEE85002B,2,64,66,0,22,22,2,24,26
VAMM81901B,7,17,24,3,4,7,6,22,28
SAEE8AF013,1,38,39,0,11,11,2,15,17
SAEE18303T,4,61,65,3,21,24,12,7,19
AVMM84102E,7,23,30,0,5,5,12,11,23
TPEE80601A,1,57,58,0,21,21,23,17,40
MEEE84602L,1,22,23,0,4,4,4,13,17
PDTF04000Q,61,63,124,0,4,4,22,17,39
PDMM82205Q,12,32,44,3,3,6,2,30,32
TARC039517,70,117,187,13,50,63,0,0,0
NUMM85403L,4,17,21,0,2,2,4,20,24
LUEE85003D,3,47,50,0,10,10,0,23,23
SAEE83002A,1,18,19,0,2,2,7,10,17
MIMM8A401A,6,25,31,1,8,9,5,21,26
PDPS00302R,48,100,148,4,9,13,13,24,37
FERH00850R,41,59,100,9,14,23,0,0,0
CLTD00701D,63,93,156,10,19,29,31,14,45
FORI00101N,42,88,130,6,23,29,10,26,36
PEEE81104X,1,49,50,0,18,18,10,20,30
RMSL023014,42,127,169,9,42,51,16,21,37
FGMM82403Q,6,19,25,1,1,2,11,8,19
SAEE8BA02G,0,66,66,0,11,11,12,19,31
FGMM830011,8,16,24,2,6,8,11,7,18
ENRH00801G,49,73,122,3,19,22,19,14,33
RMMM67300X,49,73,122,3,19,22,19,14,33
FIEE86502P,4,72,76,1,13,14,4,30,34
BGMM876013,13,24,37,3,6,9,4,23,27
MIEE836018,5,62,67,2,13,15,10,14,24
VVMM833011,8,23,31,1,6,7,14,16,30
PZEE828037,0,42,42,0,11,11,5,13,18
PGEE86003P,3,45,48,2,12,14,5,24,29
GERC02201N,21,44,65,3,8,11,7,9,16
PAEE01703C,21,44,65,3,8,11,7,9,16
FOEE01909E,5,71,76,1,16,17,4,23,27
NAEE8B6017,1,26,27,1,12,13,12,9,21
VREE867021,3,48,51,0,12,12,1,20,21
BSTD003017,54,99,153,6,13,19,13,25,38
FREE82501G,1,56,57,0,17,17,2,26,28
CTEE859031,0,29,29,0,8,8,11,12,23
FGEE81801B,2,39,41,0,9,9,8,10,18
FREE857013,1,41,42,0,10,10,6,19,25
MEEE83908Q,9,53,62,3,6,9,10,25,35
GRMM82503R,9,29,38,1,5,6,7,21,28
TERI004012,56,95,151,18,33,51,11,18,29
ARMM83801C,8,48,56,4,11,15,5,27,32
VEEE86004L,2,69,71,0,15,15,4,30,34
NOEE83204L,4,40,44,3,12,15,14,19,33
RMMM8AM017,10,21,31,6,8,14,5,19,24
MSMM80801V,9,31,40,3,8,11,8,23,31
SAEE86402D,1,36,37,0,10,10,11,8,19
SSEE84401R,1,72,73,1,22,23,7,24,31
CNEE82610G,3,56,59,1,10,11,6,30,36
NATD00901T,36,70,106,4,18,22,20,10,30
RGMM811014,10,21,31,2,7,9,11,13,24
MIEE8FK03V,5,53,58,2,10,12,3,22,25
IMEE81102P,7,59,66,1,18,19,7,21,28
LUEE82607R,0,38,38,0,1,1,0,21,21
PIEE70201C,0,38,38,0,1,1,0,21,21
RMTD09351P,37,88,125,4,20,24,0,0,0
LUPS020003,23,44,67,2,5,7,4,20,24
RMMM8EW011,11,21,32,5,7,12,4,25,29
ALEE81502B,8,66,74,3,28,31,2,34,36
CAEE033002,4,74,78,1,25,26,2,20,22
CEEE84501P,2,90,92,0,21,21,21,7,28
BIEE809045,6,41,47,3,8,11,9,13,22
SRTF01101L,61,113,174,10,29,39,15,45,60
APMM82703V,5,21,26,1,4,5,5,30,35
TVRI023018,98,79,177,8,9,17,23,28,51
MNEE82902P,5,71,76,2,17,19,4,30,34
TOEE8AS04V,4,49,53,0,8,8,10,28,38
SAPS070007,12,30,42,0,0,0,9,10,19
MIEE87703L,5,71,76,2,14,16,6,25,31
FIEE81104C,5,71,76,2,14,16,6,25,31
LTEE80103R,3,50,53,2,22,24,6,22,28
SAMM8BS02A,3,50,53,2,22,24,6,22,28
PGMM82701X,6,34,40,0,11,11,2,23,25
RMTN02050T,21,55,76,3,10,13,9,19,28
BOMM88401X,10,23,33,1,5,6,0,21,21
LTTD02601B,29,113,142,5,11,16,16,19,35
TORH00601P,52,80,132,18,27,45,22,33,55
FREE83403C,1,43,44,0,17,17,2,16,18
LEMM859013,18,35,53,2,6,8,12,19,31
BGMM868025,11,25,36,0,4,4,4,25,29
CBRI026017,62,109,171,6,36,42,17,34,51
BRTD01451G,65,94,159,12,28,40,0,0,0
FIMM704018,65,94,159,12,28,40,0,0,0
RCTD03201P,33,80,113,2,18,20,28,30,58
MOPS04000L,25,58,83,3,3,6,6,22,28
CEEE8A602Q,4,69,73,0,17,17,9,23,32
CZMM82301Q,6,15,21,0,1,1,7,8,15
MBMM8E001A,8,26,34,0,8,8,4,20,24
RMEE884027,2,84,86,0,33,33,2,26,28
GRTA006018,57,132,189,12,42,54,21,32,53
VRTD00351P,28,74,102,3,18,21,0,0,0
PAEE871012,3,55,58,0,22,22,13,10,23
AQEE83905V,1,33,34,1,10,11,8,15,23
RMEE8B1024,3,73,76,2,22,24,7,20,27
CZEE848026,4,35,39,1,7,8,9,16,25
BSMM82701A,5,38,43,2,5,7,5,25,30
RMEE8CR029,8,115,123,2,39,41,12,22,34
SOEE824022,0,55,55,0,6,6,2,31,33
TSEE80701V,6,47,53,2,10,12,2,25,27
BSEE874022,4,86,90,3,19,22,3,28,31
SAMM8AQ01N,4,11,15,0,2,2,3,9,12
BLEE82802A,4,44,48,1,8,9,13,14,27
AVEE857069,2,43,45,0,14,14,5,18,23
RMPS48000T,22,64,86,1,2,3,7,20,27
PEEE823035,1,45,46,0,19,19,5,21,26
MBRA073016,59,78,137,15,28,43,16,14,30
RMMM8D001B,10,32,42,3,9,12,3,22,25
GEMM86501D,14,29,43,5,6,11,5,20,25
NAMM8DD01Q,14,29,43,5,6,11,5,20,25
TOTF05950X,67,79,146,8,17,25,0,0,0
UDEE82602B,3,54,57,3,9,12,4,27,31
VASL01000A,47,118,165,3,11,14,6,26,32
SAMM8B501R,2,5,7,0,2,2,10,17,27
BSEE85502L,5,56,61,1,9,10,1,28,29
MBEE86301D,5,81,86,1,17,18,9,18,27
SREE84801L,3,48,51,2,14,16,10,14,24
KRMM821035,15,15,30,3,2,5,12,12,24
BSEE84101N,2,49,51,0,10,10,7,18,25
VTMM83301A,2,4,6,0,0,0,5,21,26
PASD03350E,77,121,198,20,47,67,0,0,0
PZTD011025,43,98,141,5,13,18,16,26,42
CLPM018015,21,74,95,5,14,19,10,15,25
PNTN008013,26,89,115,1,20,21,4,28,32
NUEE865078,2,22,24,0,3,3,4,20,24
FRRA008508,32,63,95,8,20,28,0,0,0
CHEE83103G,5,54,59,2,15,17,4,24,28
UDEE84007V,2,25,27,0,1,1,4,21,25
SAMM8AZ01D,16,35,51,3,10,13,7,25,32
LUEE844036,1,48,49,0,9,9,3,29,32
NAEE11807C,1,50,51,0,18,18,10,11,21
PDEE82201L,4,65,69,2,15,17,2,30,32
PAMM15600Q,4,65,69,2,15,17,2,30,32
KREE83202G,2,54,56,0,7,7,10,10,20
FOEE80306R,2,55,57,0,8,8,10,29,39
PREE83302A,5,82,87,3,17,20,6,25,31
FGEE86801C,1,61,62,0,17,17,19,9,28
AVEE81701N,4,43,47,1,8,9,11,11,22
PDEE839034,4,66,70,2,10,12,3,23,26
AQTF019014,66,87,153,4,14,18,5,33,38
LCEE81303G,2,60,62,0,17,17,6,27,33
MIPS13000N,26,83,109,0,1,1,9,16,25
NAMM72501D,26,83,109,0,1,1,9,16,25
LEMM82202D,6,24,30,2,4,6,10,12,22
ARRF00101N,23,64,87,6,17,23,2,19,21
VAMM84701G,11,30,41,2,12,14,12,14,26
PIMM81401E,7,33,40,1,11,12,6,20,26
MIMM8E401R,9,58,67,3,14,17,6,28,34
BRMM80601T,5,28,33,0,9,9,8,15,23
AVEE807068,8,49,57,2,8,10,6,24,30
PGMM82201R,12,22,34,1,4,5,3,16,19
CLEE822017,3,64,67,0,20,20,14,12,26
MEMM85901L,3,64,67,0,20,20,14,12,26
PRMM813024,11,29,40,1,8,9,12,25,37
PEPS05000V,25,48,73,2,1,3,5,16,21
BAPC21000E,16,65,81,0,8,8,7,16,23
MIEE8FD02D,16,106,122,9,25,34,5,34,39
TOMM815016,13,42,55,3,8,11,12,24,36
BNEE813016,1,32,33,0,6,6,5,15,20
VIMM822033,15,40,55,6,8,14,7,19,26
BAMM287006,22,57,79,4,13,17,8,9,17
ALEE80804A,4,53,57,0,10,10,5,25,30
NOMM819023,17,37,54,6,8,14,20,28,48
MIEE8ED02V,7,77,84,3,23,26,6,22,28
CSEE19004R,4,41,45,1,12,13,13,11,24
AVMM852021,10,35,45,0,8,8,2,24,26
VAEE87602N,4,46,50,1,13,14,2,21,23
MEMM83507A,13,23,36,2,5,7,10,17,27
VTMM81101D,13,33,46,3,10,13,6,24,30
MIEE888011,5,56,61,3,20,23,3,16,19
CTTL013018,40,49,89,4,8,12,13,18,31
LIEE06101C,40,49,89,4,8,12,13,18,31
PGEE83201C,0,26,26,0,8,8,4,11,15
SAEE84701P,4,32,36,0,10,10,11,8,19
VRTA01204R,110,152,262,23,55,78,21,43,64
NAMM8GW017,23,49,72,4,21,25,16,14,30
TOEE8AP02X,6,87,93,2,26,28,10,32,42
CEMM84001E,10,21,31,2,8,10,6,12,18
FRMM83902D,2,8,10,1,3,4,8,20,28
LEEE85104L,2,51,53,1,13,14,19,8,27
BREE83102L,3,74,77,1,32,33,14,17,31
RIPS040009,4,14,18,0,3,3,0,0,0
CTMM88901N,5,30,35,2,10,12,7,23,30
PGEE02609E,0,87,87,0,14,14,6,22,28
RMTF10850C,38,64,102,2,5,7,0,0,0
PDEE89507L,6,158,164,0,28,28,8,43,51
SRRH02901D,34,81,115,1,7,8,20,25,45
TOSL01050T,43,82,125,2,21,23,11,13,24
APEE839014,2,70,72,0,26,26,4,28,32
CSEE823022,0,36,36,0,11,11,11,11,22
BOEE88501R,5,44,49,2,11,13,6,15,21
VTEE814023,3,55,58,1,19,20,6,25,31
LTTH00701Q,49,57,106,4,17,21,18,18,36
PAMM88201B,8,16,24,2,2,4,9,8,17
BIMM81901G,16,40,56,6,11,17,16,39,55
VVRH00301C,46,72,118,4,16,20,17,15,32
SAMM8BM077,12,17,29,1,3,4,10,11,21
MEMM574003,12,17,29,1,3,4,10,11,21
RCPC01000T,4,35,39,0,2,2,0,0,0
VIEE857055,2,89,91,0,24,24,7,22,29
BSMM88401E,12,45,57,4,5,9,11,19,30
RMEE80102V,0,38,38,0,5,5,2,16,18
TVTD04000G,35,72,107,1,2,3,7,26,33
RNMM812026,5,16,21,0,3,3,6,21,27
RCMM84303T,10,24,34,2,7,9,9,18,27
ATMM817012,14,20,34,5,5,10,10,21,31
PAEE82804V,3,42,45,0,8,8,18,9,27
BARM04251E,52,69,121,2,8,10,0,0,0
LURI01701D,47,78,125,3,15,18,18,26,44
CEMM871016,21,32,53,7,9,16,20,8,28
LTEE839015,1,67,68,0,23,23,13,18,31
VATF01701B,111,107,218,11,28,39,25,29,54
SRRA00353L,45,62,107,6,19,25,0,0,0
BAEE809018,3,60,63,1,15,16,5,22,27
RMTL03951C,20,65,85,4,7,11,0,0,0
RMMM8BA012,5,39,44,1,11,12,5,22,27
CNEE80601X,3,57,60,1,14,15,8,32,40
BARI039506,31,67,98,3,14,17,0,0,0
SAEE8BD034,2,55,57,2,13,15,16,10,26
TVEE87403D,5,76,81,3,23,26,8,26,34
LUEE81901B,4,47,51,0,14,14,2,20,22
CEMM86601P,9,17,26,1,0,1,8,11,19
PIMM840013,11,40,51,7,12,19,3,29,32
NARC098016,81,198,279,19,84,103,29,23,52
LURI00450Q,62,71,133,9,18,27,0,0,0
PGMM86701A,8,35,43,2,13,15,4,25,29
BSEE80602B,3,38,41,1,4,5,6,23,29
PVEE823065,1,60,61,0,19,19,5,34,39
PVEE814015,8,70,78,6,21,27,5,29,34
SRRA003015,45,62,107,6,19,25,26,21,47
CEMM18000T,45,62,107,6,19,25,26,21,47
PCMM80902G,12,40,52,0,10,10,1,35,36
BITD006518,34,95,129,8,29,37,0,0,0
SREE85101C,2,33,35,0,7,7,12,9,21
PZEE89501X,3,43,46,2,5,7,5,17,22
KREE819025,0,24,24,0,4,4,6,6,12
RIMM822017,10,33,43,4,10,14,4,28,32
TVEE87905P,5,76,81,1,15,16,2,38,40
TOPC08001Q,28,71,99,7,12,19,2,28,30
AGPC060002,13,48,61,1,5,6,8,16,24
MNMM821023,8,24,32,2,4,6,5,19,24
SAEE8AZ04N,4,56,60,2,15,17,7,25,32
MBMM89101L,6,24,30,2,8,10,0,24,24
AVEE86901A,3,53,56,1,14,15,8,22,30
BLMM824033,7,24,31,1,2,3,4,19,23
BAPS05000A,24,83,107,0,3,3,16,14,30
TEEE81607R,0,34,34,0,7,7,8,17,25
RCMM86401R,8,19,27,3,5,8,13,11,24
PAEE03701G,8,62,70,4,18,22,6,13,19
BOMM876011,12,32,44,4,5,9,6,16,22
NAEE21400P,2,62,64,0,16,16,9,12,21
REMM85401B,2,18,20,1,1,2,9,30,39
PDMM84701X,7,26,33,2,2,4,8,15,23
NAMM80701R,4,22,26,1,9,10,7,11,18
LEEE870031,0,45,45,0,13,13,12,17,29
CTEE04200D,3,52,55,1,19,20,10,11,21
CSTD01450V,45,75,120,8,14,22,0,0,0
FISL014016,58,122,180,11,20,31,10,28,38
PRMM839039,12,31,43,3,7,10,10,27,37
BSRC037013,120,124,244,1,3,4,49,35,84
NAMM8CF01R,14,37,51,4,11,15,13,11,24
CHEE825016,1,46,47,0,6,6,3,27,30
MOEE81109D,1,34,35,0,2,2,4,17,21
UDMM84502Q,9,26,35,0,4,4,6,24,30
LCEE81904G,3,69,72,1,16,17,3,28,31
SAEE8AU01B,2,39,41,1,7,8,11,10,21
VCMM80501P,15,25,40,6,6,12,7,21,28
NAEE8CU016,1,71,72,1,26,27,12,8,20
RMMM8C201C,6,54,60,3,10,13,6,23,29
AVEE86301B,1,45,46,0,12,12,5,17,22
COEE841043,3,79,82,0,17,17,7,22,29
NOEE81206D,2,75,77,1,17,18,7,27,34
BAMM88102E,4,28,32,1,3,4,9,11,20
COEE845017,1,57,58,0,15,15,6,23,29
VAMM85501E,2,28,30,1,8,9,2,18,20
CNEE84903X,2,44,46,0,9,9,7,20,27
PAEE09300V,3,54,57,2,9,11,12,8,20
SAEE866036,4,25,29,0,3,3,10,11,21
CARI00401Q,37,36,73,5,3,8,10,15,25
MIMM8DL01P,8,33,41,4,9,13,4,22,26
RMEE8C801C,4,82,86,1,28,29,4,23,27
AQRA01701X,4,82,86,1,28,29,4,23,27
MEEE87809B,1,28,29,0,3,3,8,14,22
COEE80207G,4,39,43,1,6,7,4,15,19
AGMM818016,9,33,42,1,7,8,8,14,22
LCEE824076,5,79,84,0,22,22,7,27,34
TOEE81901E,5,57,62,0,12,12,7,19,26
FOPS010028,45,72,117,2,1,3,13,26,39
UDMM81101G,10,28,38,3,7,10,2,24,26
FGEE82402Q,1,36,37,0,5,5,11,8,19
CSEE87702A,3,40,43,0,11,11,7,13,20
MIEE8E502P,6,87,93,4,17,21,11,27,38
CHPS01201L,71,92,163,3,9,12,23,24,47
PASD02201Q,39,77,116,4,14,18,21,14,35
CBEE85501D,0,32,32,0,12,12,1,20,21
VIEE881041,2,108,110,0,28,28,11,29,40
ANMM81801B,3,27,30,2,8,10,7,24,31
PDRI02601N,74,64,138,1,3,4,10,31,41
REEE83201G,1,39,40,0,14,14,7,16,23
VVPM01000T,47,112,159,3,15,18,21,15,36
FRMM82002C,5,12,17,2,3,5,5,17,22
GRPM01000E,37,91,128,3,15,18,10,20,30
ALEE80807D,4,53,57,0,10,10,5,25,30
FIEE870037,2,104,106,1,21,22,11,32,43
PAEE8A003L,2,65,67,1,27,28,11,13,24
CHEE07200Q,6,78,84,0,28,28,4,24,28
FGEE84203A,3,53,56,1,18,19,7,17,24
ANEE827017,3,53,56,1,18,19,7,17,24
PDEE868023,6,48,54,3,7,10,8,12,20
PZSL02701P,23,66,89,2,10,12,13,10,23
APEE804048,9,59,68,1,20,21,9,34,43
PZEE83802R,0,34,34,0,3,3,8,9,17
SOEE81901D,1,58,59,0,9,9,7,19,26
NARH25050C,41,70,111,12,37,49,15,11,26
COEE81904T,2,50,52,1,10,11,1,31,32
CTEE84801C,1,51,52,0,10,10,7,19,26
GETN00701R,22,65,87,3,10,13,4,19,23
CAEE86301T,4,66,70,0,27,27,14,16,30
PSEE83501C,0,32,32,0,5,5,7,22,29
CSMM898019,8,45,53,0,11,11,9,14,23
BOMM80501V,21,37,58,6,8,14,8,29,37
MIRC06151B,41,105,146,8,32,40,0,0,0
MCRI010019,53,60,113,8,24,32,9,25,34
BOPS00801X,39,79,118,5,11,16,5,23,28
SAEE890066,1,35,36,0,9,9,9,11,20
VBEE81002N,1,35,36,0,9,9,9,11,20
PSEE840032,2,87,89,1,19,20,4,31,35
MIMM865017,17,25,42,3,8,11,4,25,29
VAMM836037,5,40,45,3,8,11,5,16,21
VREE832022,0,48,48,0,13,13,4,27,31
TVMM82402A,13,40,53,2,7,9,4,25,29
RMTF071514,66,62,128,10,22,32,0,0,0
PSMM80401Q,7,16,23,1,5,6,6,15,21
ANMM83802N,3,17,20,0,4,4,1,17,18
BIEE816015,8,89,97,4,28,32,11,28,39
ANEE848018,2,72,74,1,13,14,10,26,36
ANEE83902E,1,49,50,0,11,11,3,24,27
RMEE8AC025,3,70,73,1,18,19,6,25,31
RMEE812018,1,51,52,1,17,18,2,18,20
TORC01950X,63,73,136,8,20,28,0,0,0
TVEE84901P,1,39,40,1,6,7,5,17,22
CZMM87301R,5,25,30,3,5,8,14,13,27
CTMM822017,10,29,39,1,10,11,9,14,23
BNPM003015,24,71,95,4,8,12,13,11,24
LESL03000R,42,103,145,3,29,32,11,15,26
BNTA01650X,46,80,126,2,13,15,0,0,0
ROEE81502B,2,52,54,0,10,10,5,21,26
LERI02150Q,80,87,167,18,24,42,0,0,0
NARC00901E,36,70,106,4,18,22,20,10,30
SIRH030008,26,54,80,11,15,26,9,14,23
NAMM8F9014,11,45,56,2,6,8,11,13,24
PDMM84301L,6,38,44,1,7,8,2,26,28
GOTD008017,47,67,114,4,9,13,13,18,31
RGEE02600V,2,47,49,1,12,13,9,8,17
LTEE80104T,3,50,53,2,22,24,6,22,28
TOPC070004,27,43,70,0,1,1,12,15,27
CESD042016,29,86,115,4,32,36,12,25,37
VEMM839013,10,27,37,1,3,4,6,23,29
MNMM821012,8,24,32,2,4,6,5,19,24
LUSL020509,78,126,204,17,41,58,8,26,34
RCTF05050V,79,129,208,4,36,40,27,19,46
UDMM83802L,4,22,26,0,2,2,2,15,17
PGRI011015,60,92,152,14,27,41,26,58,84
SPTF006519,89,107,196,4,7,11,0,0,0
VATF02050G,62,75,137,1,9,10,18,17,35
BGMM841036,16,34,50,3,4,7,6,25,31
KRMM812029,16,34,50,3,4,7,6,25,31
SAPS06000L,25,73,98,0,2,2,19,17,36
CSEE831032,4,57,61,3,11,14,14,9,23
FOEE81604R,7,83,90,4,21,25,10,36,46
PAPS029014,33,58,91,3,14,17,17,11,28
SPRI00701V,31,69,100,5,18,23,7,21,28
VETF022019,68,81,149,15,24,39,15,27,42
TPEE02700B,7,84,91,4,31,35,11,13,24
COEE845039,1,57,58,0,15,15,6,23,29
RCEE855013,1,76,77,0,23,23,19,11,30
TOEE81203T,2,86,88,0,23,23,7,32,39
BOEE884011,2,31,33,1,6,7,0,21,21
REMM13200B,2,31,33,1,6,7,0,21,21
TEEE83601Q,1,76,77,0,22,22,5,30,35
CSEE8AT01A,0,32,32,0,7,7,5,13,18
RNMM80701N,6,40,46,1,9,10,2,29,31
ENEE826042,4,55,59,1,10,11,17,18,35
RAEE82001V,2,71,73,1,19,20,5,29,34
PDTL01050D,28,37,65,0,3,3,5,12,17
TATF038511,106,125,231,12,41,53,0,0,0
BAEE868025,5,65,70,0,19,19,7,17,24
RMMM884015,11,42,53,2,10,12,2,26,28
TASD028019,11,42,53,2,10,12,2,26,28
CEMM8BE03E,14,28,42,5,3,8,15,18,33
CNMM84302V,6,40,46,2,7,9,7,28,35
LUEE85005G,3,47,50,0,10,10,0,23,23
FERI008508,41,59,100,9,14,23,0,0,0
CLTD00750T,63,93,156,10,19,29,0,0,0
CAMM008008,24,63,87,5,11,16,4,14,18
RMRI02350R,42,127,169,9,42,51,0,0,0
LUEE83901L,4,73,77,0,19,19,9,20,29
FGMM82401N,6,19,25,1,1,2,11,8,19
RMPS37000A,23,77,100,1,6,7,8,22,30
BLPS006011,46,37,83,6,5,11,27,46,73
GREE82002N,1,42,43,0,7,7,2,23,25
MIMM836017,9,34,43,1,9,10,10,14,24
MTEE808013,2,26,28,0,2,2,8,11,19
SAEE80601C,4,29,33,2,7,9,7,8,15
RCMM87401B,11,37,48,4,12,16,14,11,25
VRMM87501T,7,35,42,1,6,7,8,19,27
GOMM80901N,6,17,23,0,5,5,2,14,16
RMPS49000C,37,82,119,1,2,3,9,19,28
MSRI01151V,50,85,135,7,21,28,0,0,0
FREE852032,1,60,61,1,16,17,6,20,26
NATF08951A,64,55,119,5,11,16,0,0,0
SVEE81507R,3,83,86,1,21,22,6,29,35
SAEE8BF05T,1,21,22,0,4,4,7,10,17
AVMM88304P,6,31,37,0,6,6,10,22,32
SVEE80601Q,1,55,56,0,13,13,6,28,34
FGEE81804E,1,55,56,0,13,13,6,28,34
SAMM8AF012,13,20,33,1,3,4,2,15,17
AVEE84103L,4,40,44,1,8,9,12,11,23
MEEE814025,4,26,30,0,1,1,12,16,28
CTEE86203R,5,63,68,4,26,30,12,19,31
CLRI010503,47,64,111,8,25,33,25,8,33
PVEE81207Q,3,53,56,1,12,13,2,25,27
FEMM803023,7,30,37,3,5,8,3,20,23
FREE82601B,2,55,57,0,19,19,7,23,30
LEEE817034,2,54,56,1,17,18,14,10,24
COEE838014,2,70,72,2,11,13,7,24,31
LEEE831018,0,37,37,0,13,13,8,8,16
FOPS00101C,42,88,130,6,23,29,10,26,36
AREE83803G,1,59,60,1,17,18,5,27,32
PEMM81102R,8,18,26,0,1,1,10,20,30
FREE85801V,0,52,52,0,21,21,3,24,27
MIMM8EP018,12,24,36,4,8,12,8,19,27
VCTD01351C,41,95,136,8,27,35,0,0,0
CNEE86205C,3,123,126,0,46,46,12,46,58
MITD02301E,39,103,142,5,11,16,19,20,39
BSEE84102P,2,49,51,0,10,10,7,18,25
BOEE82405D,2,53,55,1,9,10,10,28,38
PZTA01101N,43,98,141,5,13,18,16,26,42
CAEE870011,4,42,46,1,10,11,6,24,30
PZEE828015,0,42,42,0,11,11,5,13,18
BOMM80502X,21,37,58,6,8,14,8,29,37
RGEE811015,3,50,53,1,15,16,11,13,24
LUEE82604N,0,38,38,0,1,1,0,21,21
CSEE852011,3,25,28,1,4,5,6,16,22
PIMM61000C,3,25,28,1,4,5,6,16,22
NOMM82401D,8,30,38,5,13,18,7,25,32
LEEE89902G,1,22,23,1,8,9,5,14,19
PSEE84102R,1,55,56,0,18,18,4,24,28
MNMM82901L,9,49,58,2,16,18,4,30,34
MIEE87702G,5,71,76,2,14,16,6,25,31
RMMM8DS013,1,5,6,1,2,3,3,20,23
CTEE8BB018,3,58,61,1,25,26,7,13,20
CARA02801L,45,72,117,5,20,25,14,18,32
RMEE8AM018,1,46,47,0,14,14,5,19,24
REEE81201A,2,77,79,2,22,24,7,18,25
LTTD027017,41,87,128,6,17,23,8,20,28
CTMM830016,9,21,30,5,7,12,6,20,26
MIEE8FK02T,5,53,58,2,10,12,3,22,25
FREE835027,4,34,38,0,13,13,4,18,22
BIMM81203V,8,30,38,0,8,8,6,23,29
LEEE859025,2,71,73,1,14,15,12,19,31
RMMM89402R,4,24,28,1,7,8,4,20,24
RMRC093012,37,88,125,4,20,24,6,24,30
CZEE822011,4,36,40,1,9,10,11,8,19
PZEE874042,1,62,63,1,11,12,3,27,30
ORRI01201P,46,83,129,5,17,22,11,22,33
VRRC003012,28,74,102,3,18,21,6,19,25
ALTF01000R,70,76,146,2,9,11,11,31,42
CTEE81103X,2,32,34,1,10,11,5,9,14
LTEE85301B,2,55,57,1,23,24,9,18,27
SOEE824044,0,55,55,0,6,6,2,31,33
BSMM87401X,15,39,54,7,7,14,3,28,31
CZEE86702G,0,74,74,0,18,18,10,20,30
BLEE829026,2,38,40,1,6,7,7,17,24
PEMM823012,8,23,31,2,10,12,5,21,26
BGEE86807B,3,62,65,1,10,11,4,25,29
PNMM82901R,14,43,57,2,9,11,6,24,30
GEEE86502G,4,52,56,1,15,16,5,20,25
LEPS04601E,4,52,56,1,15,16,5,20,25
SPTH00601B,89,107,196,4,7,11,20,44,64
VVPC00701V,31,74,105,4,14,18,14,18,32
CREE82203Q,8,90,98,4,32,36,6,36,42
ROEE82204L,1,63,64,0,20,20,4,22,26
BGMM81501G,5,38,43,1,11,12,2,25,27
LTMM833015,15,40,55,5,15,20,7,28,35
PVMM83201N,17,34,51,7,11,18,7,25,32
VARI04000E,45,66,111,8,28,36,15,20,35
BAEE17700Q,4,69,73,3,25,28,3,19,22
AVEE00507P,1,88,89,0,23,23,12,18,30
PDEE85704P,1,36,37,0,7,7,5,21,26
CEEE073021,5,102,107,1,34,35,15,16,31
SOMM81302E,2,30,32,0,5,5,3,27,30
VEEE84902Q,0,62,62,0,13,13,6,15,21
TAEE852028,1,31,32,0,8,8,7,13,20
VVEE83501N,2,60,62,0,9,9,19,15,34
FEEE82203E,4,51,55,1,11,12,2,23,25
LOMM80202R,5,29,34,0,8,8,1,22,23
NAEE8FC016,3,83,86,1,30,31,9,17,26
CEEE848016,2,63,65,0,9,9,10,13,23
ATMM81301P,11,21,32,3,5,8,2,27,29
TAEE86802T,2,71,73,1,35,36,8,18,26
TSEE807042,6,47,53,2,10,12,2,25,27
FIEE818014,2,53,55,0,9,9,3,22,25
RMEE8D8035,1,69,70,0,16,16,11,13,24
CEEE8AY04D,4,52,56,3,13,16,12,13,25
CNMM83601P,4,17,21,0,2,2,7,15,22
AVEE857036,2,43,45,0,14,14,5,18,23
BOEE88504X,5,44,49,2,11,13,6,15,21
PVEE83402B,9,100,109,5,36,41,5,28,33
NAEE8DD01R,9,100,109,5,36,41,5,28,33
BSEE85403T,3,71,74,0,12,12,6,33,39
PDMM82201G,12,32,44,3,3,6,2,30,32
PDMM87702R,8,22,30,1,4,5,4,18,22
SAEE83004C,1,18,19,0,2,2,7,10,17
KRMM83201D,1,5,6,0,0,0,10,10,20
TEEE83101L,4,53,57,2,20,22,6,27,33
LUEE81803N,3,56,59,1,23,24,4,19,23
VIMM85701X,7,42,49,1,9,10,7,22,29
SAEE8B501T,2,70,72,0,20,20,10,17,27
CTEE8AL02E,2,61,63,1,17,18,7,20,27
PAMM8AH025,12,41,53,4,8,12,13,12,25
MBMM86301C,8,27,35,2,6,8,9,18,27
VAEE85704A,4,73,77,3,23,26,9,18,27
COMM15400T,4,73,77,3,23,26,9,18,27
CTEE06901E,2,67,69,1,25,26,4,19,23
PDEE83106L,1,46,47,0,8,8,5,18,23
AVEE81704R,4,43,47,1,8,9,11,11,22
MEEE851013,3,87,90,2,35,37,7,21,28
PDEE884032,7,54,61,1,11,12,7,19,26
VAEE82601G,2,35,37,1,9,10,4,12,16
TSMM800024,6,9,15,0,0,0,2,23,25
AGEE826038,4,48,52,0,6,6,16,16,32
FRRA008021,32,63,95,8,20,28,13,20,33
